ID,Fecha_de_creacion_usuario,Fecha_creacion_del_tweet,nombre_usuario,texto,localizacion,numero_seguidores,numero_seguidos,numero_retweets,numero_tweets,numero_favoritos,menciones,retweet
1662783189738201088,18/05/04,23/05/28,Gema43504940,RT @Rafael_Narbona: Vivo en la Comunidad de Madrid y en las elecciones de mañana votaré a la izquierda. No me entusiasman ninguna de sus si…,,135,23,826,130,1713,['Rafael_Narbona'],Rafael_Narbona
1662783169853116416,17/04/19,23/05/28,Carmenlacanaria,RT @tomascasascm: #28MValentíaParaTransformar ¿Será José Luis Martínez-Almeida el gran perdedor de estas elecciones del 28M gracias a la en…,,1242,943,40,80411,81399,['tomascasascm'],tomascasascm
1662783157832228866,21/04/29,23/05/28,LadyBug27747836,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",,1368,678,18,27918,24654,['Otto_Mas'],Otto_Mas
1662783095458635779,15/07/22,23/05/28,RosaKempin,"RT @publico_es: 🔴DIRECTO | Jimena González, candidata trans de Más Madrid, denuncia insultos al grito de ""marimacho"" de una apoderada de Vo…",Dènia - Madrid,11047,11423,7,436238,80749,['publico_es'],publico_es
1662783064911622145,13/12/14,23/05/28,cpugena,RT @Rafael_Narbona: Vivo en la Comunidad de Madrid y en las elecciones de mañana votaré a la izquierda. No me entusiasman ninguna de sus si…,,2022,1859,826,250383,128576,['Rafael_Narbona'],Rafael_Narbona
1662783047928799234,17/04/19,23/05/28,Carmenlacanaria,"RT @sikokosmik: #28MValentíaParaTransformar
Mi mayor deseo hoy es que Madrid corrija el error de las anteriores elecciones y Ayuso pierda e…",,1242,943,4,80411,81399,['sikokosmik'],sikokosmik
1662783038990823430,12/05/29,23/05/28,illuam_STB,"RT @ElHuffPost: ÚLTIMA HORA: sube tres puntos la participación en la Comunidad de Madrid respecto a las elecciones de 2019, hasta la una de…","Madrid, Comunidad de Madrid",1392,2360,7,26409,237171,['ElHuffPost'],ElHuffPost
1662783016270282753,12/02/20,23/05/28,pepeitorr0,RT @publico_es: ¿Tiene Almeida dos caras? David Torres asegura que el alcalde de Madrid es de una forma con los débiles y de otra muy difer…,Madrid,2504,1777,142,132534,5178,['publico_es'],publico_es
1662782938579103746,14/12/17,23/05/28,folaula2014,RT @Alejandro_vara: No puede pisar la calle ni para votar.  https://t.co/sxp7yq4caZ a través de @voz_populi,,48,147,26,202151,95834,"['Alejandro_vara', 'voz_populi']",Alejandro_vara
1662782935764795394,18/06/11,23/05/28,MaraRodois,RT @publico_es: ¿Tiene Almeida dos caras? David Torres asegura que el alcalde de Madrid es de una forma con los débiles y de otra muy difer…,"Galicia, España",405,312,142,4621,10833,['publico_es'],publico_es
1662782920375910405,09/12/02,23/05/28,dannedu,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",Madrid (Torrejon de Ardoz),2876,1784,18,39746,40312,['Otto_Mas'],Otto_Mas
1662782914260549633,11/04/07,23/05/28,RamonTrivino,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",España,1142,2005,18,98616,20639,['Otto_Mas'],Otto_Mas
1662782876847333376,22/06/10,23/05/28,pilardepe1,RT @Mapecuesta331: Florentino Pérez ha dejado atado los mayores urbanísticos de Madrid antes de las elecciones. Ayuso le adjudica Ciudad de…,,35,0,302,1140,629,['Mapecuesta331'],Mapecuesta331
1662782855615741955,12/04/19,23/05/28,rafa_g_arias,"RT @europapress: Sotomayor (Podemos) asegura que ""la colleja que le va a dar el pueblo de Madrid a Almeida va a ser clara y contundente"": ""…",Barcelona,727,222,36,23630,40126,['europapress'],europapress
1662782850020655105,21/12/28,23/05/28,JavierM92434412,RT @Mapecuesta331: Florentino Pérez ha dejado atado los mayores urbanísticos de Madrid antes de las elecciones. Ayuso le adjudica Ciudad de…,,5001,3733,302,18753,19836,['Mapecuesta331'],Mapecuesta331
1662782785214357504,14/01/06,23/05/28,Maria_23campos,"RT @europapress: Sotomayor (Podemos) asegura que ""la colleja que le va a dar el pueblo de Madrid a Almeida va a ser clara y contundente"": ""…",,607,771,36,74114,175179,['europapress'],europapress
1662782751391580162,10/08/22,23/05/28,Fremy31,"RT @rtvenoticias: #28mRTVE | El presidente del Gobierno y secretario general del PSOE, Pedro Sánchez, vota en Madrid, en el distrito de Mon…",,419,318,41,63255,26321,['rtvenoticias'],rtvenoticias
1662782732773015552,10/08/02,23/05/28,majemares,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",🌍,150,329,18,20716,106226,['Otto_Mas'],Otto_Mas
1662782659288879106,14/12/04,23/05/28,elespanolcom,"🗳️La participación en Madrid a hasta las 13:00 horas cuatro puntos mayor que en 2019 y dos respecto a las últimas elecciones de 2021

La participación es del 29,14%, frente al 24,58% de 2019.",,763,503499,1,366806,16123,[],
1662782647548928000,12/06/06,23/05/28,La_Torm,Un asesor de Almeida y miembros de Nuevas Generaciones del PP cocinaron bulos de las elecciones en la Complutense https://t.co/bbFJdzUnrs a través de @_somosmadrid,,1027,1140,0,61634,4270,['_somosmadrid'],
